"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Aerial Formation","jou","Near Mint","English","","","2024-12-05 17:13:08.153000","30","False","False",""
"1","1","Aerial Guide","j25","Near Mint","English","","","2024-12-07 19:53:01.410000","282","False","False",""
"5","5","Aerial Maneuver","gtc","Near Mint","English","","","2025-10-13 19:00:07.490000","1","False","False",""
"2","2","Aerial Maneuver","gtc","Near Mint","English","foil","","2025-10-13 19:00:24.220000","1","False","False",""
"1","1","Aerial Modification","aer","Near Mint","English","","","2024-12-07 02:35:27.310000","1","False","False",""
"1","1","Aerie Bowmasters","dtk","Near Mint","English","","","2025-10-09 19:25:55.887000","170","False","False",""
"1","1","Aerie Worshippers","bng","Near Mint","English","","","2024-11-29 19:25:48.197000","30","False","False",""
"2","2","Aerith Rescue Mission","fin","Near Mint","English","","","2025-10-13 19:01:09.670000","5","False","False",""
"1","1","Aerith Rescue Mission","fin","Near Mint","English","foil","","2025-10-13 19:01:15.177000","5","False","False",""
"1","1","Aerith, Last Ancient","fic","Near Mint","English","","","2025-10-17 00:20:40.027000","76","False","False",""
"2","2","Aeronaut Admiral","aer","Near Mint","English","","","2025-10-13 19:01:56.753000","2","False","False",""
"1","1","Aeronaut Cavalry","bro","Near Mint","English","","","2024-12-06 22:06:20.333000","1","False","False",""
"4","4","Aeronaut Tinkerer","m15","Near Mint","English","","","2025-10-08 03:41:07.713000","43","False","False",""
"2","2","Aeronaut's Wings","bro","Near Mint","English","","","2025-10-04 03:54:34.830000","231","False","False",""
"1","1","Aesthir Glider","dom","Near Mint","English","","","2024-12-03 19:07:35.213000","209","False","False",""
"3","3","Aether Adept","m12","Near Mint","English","","","2025-10-08 03:41:48.353000","41","False","False",""
"1","1","Aether Channeler","blc","Near Mint","English","","","2025-09-23 04:30:02.820000","160","False","False",""
"3","3","Aether Chaser","aer","Near Mint","English","","","2025-10-11 04:17:48.757000","76","False","False",""
"2","2","Aether Flash","wth","Near Mint","English","","","2025-10-11 04:18:44.710000","88","False","False",""
"2","2","Aether Flash","6ed","Near Mint","English","","","2025-10-11 04:18:48.730000","163","False","False",""
"3","3","Aether Herder","aer","Near Mint","English","","","2025-10-09 19:26:13.363000","102","False","False",""
"1","1","Aether Hub","kld","Near Mint","English","","","2024-12-03 18:39:24.107000","242","False","False",""
"4","4","Aether Inspector","aer","Near Mint","English","","","2025-10-13 19:02:32.737000","3","False","False",""
"1","1","Aether Meltdown","kld","Near Mint","English","","","2024-12-05 16:34:10.387000","36","False","False",""
"1","1","Aether Poisoner","aer","Near Mint","English","","","2024-12-04 17:25:07.353000","51","False","False",""
"1","1","Aether Spike","mh3","Near Mint","English","","","2025-10-08 03:42:17.900000","50","False","False",""
"1","1","Aether Storm","hml","Near Mint","English","","","2024-12-05 06:04:36.170000","21","False","False",""
"1","1","Aether Storm","5ed","Near Mint","English","","","2025-10-08 04:25:00.740000","70","False","False",""
"3","3","Aether Swooper","aer","Near Mint","English","","","2025-10-08 03:42:59.593000","26","False","False",""
"1","1","Aether Syphon","dft","Near Mint","English","foil","","2025-10-08 03:43:17.303000","38","False","False",""
"1","1","Aether Theorist","kld","Near Mint","English","","","2024-12-05 01:44:30.653000","37","False","False",""
"2","2","Aether Tide","exo","Near Mint","English","","","2025-10-08 03:43:36.077000","27","False","False",""
"1","1","Aether Tradewinds","cns","Near Mint","English","","","2025-10-08 03:44:48.750000","89","False","False",""
"1","1","Aether Tradewinds","wwk","Near Mint","English","","","2025-10-08 03:45:01.217000","24","False","False",""
"3","3","Aether Tradewinds","kld","Near Mint","English","","","2025-10-08 03:44:55.347000","38","False","False",""
"1","1","Aetherborn Marauder","kld","Near Mint","English","","","2025-10-06 06:28:37.700000","71","False","False",""
"1","1","Aetherborn Marauder","otc","Near Mint","English","","","2024-12-04 17:24:44.897000","125","False","False",""
"1","1","Aetherflux Conduit","drc","Near Mint","English","","","2025-10-04 04:10:39.730000","33","False","False",""
"1","1","Aetherflux Reservoir","kld","Near Mint","English","","","2025-02-09 16:38:25.360000","192","False","False",""
"1","1","Aetheric Amplifier","drc","Near Mint","English","","","2025-10-04 04:11:58.987000","34","False","False",""
"4","4","Aetherize","gtc","Near Mint","English","","","2025-10-08 05:30:48.607000","29","False","False",""
"1","1","Aetherize","blc","Near Mint","English","","","2025-10-08 03:47:34.103000","161","False","False",""
"1","1","Aetherize","gtc","Near Mint","English","foil","","2024-11-29 19:21:36.010000","29","False","False",""
"1","1","Aetherjacket","dft","Near Mint","English","","","2025-10-04 04:12:24.393000","230","False","False",""
"1","1","Aethersnipe","lrw","Near Mint","English","","","2024-11-29 19:51:41.480000","50","False","False",""
"1","1","Aethersphere Harvester","aer","Near Mint","English","","","2024-12-04 02:04:04.520000","142","False","False",""
"1","1","Aetherspouts","m15","Near Mint","English","","","2024-11-29 17:29:09.837000","44","False","False",""
"1","1","Aethersquall Ancient","kld","Near Mint","English","","","2024-12-05 01:44:01.820000","39","False","False",""
"1","1","Aetherstorm Roc","kld","Near Mint","English","","","2024-12-06 22:06:41.840000","3","False","False",""
"2","2","Aetherstream Leopard","aer","Near Mint","English","","","2025-10-09 19:27:21.763000","103","False","False",""
"1","1","Aethertorch Renegade","kld","Near Mint","English","","","2024-12-06 04:42:16.897000","106","False","False",""
"1","1","Aetherwind Basker","aer","Near Mint","English","","","2024-12-05 21:45:03.640000","104","False","False",""
"1","1","Affa Guard Hound","jmp","Near Mint","English","","","2024-12-06 22:06:53.293000","81","False","False",""
"1","1","Affa Protector","ogw","Near Mint","English","","","2024-12-06 22:07:02.513000","14","False","False",""
"1","1","Affectionate Indrik","fdn","Near Mint","English","","","2025-10-09 19:28:24.997000","211","False","False",""
"1","1","Affectionate Indrik","jmp","Near Mint","English","","","2025-10-09 19:28:29.673000","373","False","False",""
"2","2","Afflicted Deserter // Werewolf Ransacker","dka","Near Mint","English","","","2025-10-11 04:19:59.140000","81","False","False",""
"1","1","Afterlife","mir","Near Mint","English","","","2024-12-07 04:08:32.650000","1","False","False",""
"3","3","Aftershock","tmp","Near Mint","English","","","2025-10-11 04:20:23.053000","160","False","False",""
"3","3","Agate Assault","blb","Near Mint","English","foil","","2025-10-11 04:21:16.197000","122","False","False",""
"1","1","Agate Assault","blb","Near Mint","English","","","2025-10-11 04:21:00.567000","122","False","False",""
"1","1","Agate Instigator","blc","Near Mint","English","","","2025-01-29 05:50:39.060000","56","False","False",""
"1","1","Agate Instigator","blc","Near Mint","English","","","2025-10-11 04:22:29.273000","21","False","False",""
"1","1","Agency Coroner","mkm","Near Mint","English","","","2025-10-06 06:37:43.740000","75","False","False",""
"2","2","Agency Outfitter","mkm","Near Mint","English","","","2025-10-08 04:16:47.403000","38","False","False",""
"1","1","Agent of Acquisitions","cns","Near Mint","English","","","2024-12-03 19:07:57.070000","54","False","False",""
"1","1","Agent of Erebos","jou","Near Mint","English","","","2024-12-04 20:35:58.203000","59","False","False",""
"1","1","Agent of the Fates","ths","Near Mint","English","","","2024-12-04 17:25:22.813000","76","False","False",""
"2","2","Agent of Treachery","sld","Near Mint","English","foil","","2025-10-08 04:18:17.007000","2005","False","False",""
"3","3","Aggression","ice","Near Mint","English","","","2025-10-11 04:27:55.083000","169","False","False",""
"1","1","Aggressive Urge","jmp","Near Mint","English","","","2024-12-06 02:32:11.910000","374","False","False",""
"3","3","Aggressive Urge","rix","Near Mint","English","","","2025-10-09 19:31:12.560000","122","False","False",""
"4","4","Agility","mir","Near Mint","English","","","2025-10-11 04:28:22.510000","154","False","False",""
"1","1","Agonasaur Rex","dft","Near Mint","English","foil","","2025-10-09 19:31:35.913000","343","False","False",""
"4","4","Agoraphobia","gtc","Near Mint","English","","","2025-10-08 04:18:39.857000","30","False","False",""
"1","1","Ahn-Crop Champion","akh","Near Mint","English","","","2024-12-04 16:33:10.070000","194","False","False",""
"4","4","Ahriman","fin","Near Mint","English","","","2025-10-06 06:38:48.173000","87","False","False",""
"1","1","Ahriman","fin","Near Mint","English","foil","","2025-10-06 06:38:08.837000","87","False","False",""
"4","4","Aid from the Cowl","aer","Near Mint","English","","","2025-10-09 19:32:20.047000","105","False","False",""
"1","1","Aid from the Cowl","moc","Near Mint","English","","","2025-10-09 19:32:25.537000","290","False","False",""
"1","1","Aim High","inr","Near Mint","English","foil","","2025-10-09 19:34:28.293000","185","False","False",""
"1","1","Ainok Artillerist","dtk","Near Mint","English","","","2024-12-05 21:45:40.660000","171","False","False",""
"1","1","Ainok Bond-Kin","ktk","Near Mint","English","","","2024-11-30 00:31:52.827000","3","False","False",""
"1","1","Ainok Guide","frf","Near Mint","English","","","2024-12-05 21:45:56.260000","121","False","False",""
"1","1","Ainok Survivalist","dtk","Near Mint","English","","","2024-12-05 21:47:47.353000","172","False","False",""
"1","1","Ainok Tracker","ktk","Near Mint","English","","","2024-12-06 04:42:40.197000","96","False","False",""
"2","2","Air Marshal","bro","Near Mint","English","","","2025-10-08 04:19:24.957000","43","False","False",""
"2","2","Air Response Unit","dft","Near Mint","English","","","2025-10-13 19:05:15.567000","292","False","False",""
"1","1","Air Response Unit","dft","Near Mint","English","foil","","2025-10-13 19:05:23.217000","292","False","False",""
"2","2","Air Servant","m14","Near Mint","English","","","2025-10-08 04:19:47.273000","42","False","False",""
"2","2","Airlift Chaplain","bro","Near Mint","English","","","2025-10-13 19:05:36.353000","2","False","False",""
"4","4","Airship Crash","fin","Near Mint","English","","","2025-10-09 19:35:04.857000","171","False","False",""
"3","3","Airtight Alibi","mkm","Near Mint","English","","","2025-10-09 19:35:44.327000","149","False","False",""
"1","1","Ajani, Caller of the Pride","fdn","Near Mint","English","","","2025-10-13 19:07:17.937000","134","False","False",""
"1","1","Ajani, Caller of the Pride","fdn","Near Mint","English","foil","","2024-12-07 07:37:37.880000","134","False","False",""
"1","1","Ajani's Chosen","m14","Near Mint","English","","","2024-12-06 22:09:17.113000","2","False","False",""
"2","2","Ajani's Presence","jou","Near Mint","English","","","2025-10-13 19:07:43.200000","2","False","False",""
"2","2","Ajani's Pridemate","m15","Near Mint","English","","","2025-10-13 19:08:34.723000","2","False","False",""
"1","1","Ajani's Pridemate","fdn","Near Mint","English","","","2025-10-13 19:08:29.783000","135","False","False",""
"2","2","Ajani's Pridemate","fdn","Near Mint","English","foil","","2025-10-13 19:08:17.250000","293","False","False",""
"1","1","Ajani's Sunstriker","m13","Near Mint","English","","","2024-12-06 22:09:52.493000","2","False","False",""
"2","2","Akoum Hellhound","znr","Near Mint","English","","","2025-10-11 04:29:27.177000","133","False","False",""
"1","1","Akoum Hellhound","znr","Near Mint","English","","","2024-12-06 04:43:08.933000","299","False","False",""
"1","1","Akoum Hellkite","scd","Near Mint","English","","","2024-11-29 18:21:11.383000","123","False","False",""
"1","1","Akoum Refuge","zen","Near Mint","English","","","2024-12-03 00:25:13.773000","210","False","False",""
"1","1","Akoum Warrior // Akoum Teeth","znr","Near Mint","English","","","2024-12-06 04:43:23.210000","134","False","False",""
"1","1","Akroan Conscriptor","bng","Near Mint","English","","","2024-12-06 04:43:36.567000","87","False","False",""
"2","2","Akroan Mastiff","jou","Near Mint","English","","","2025-10-13 19:08:50.397000","3","False","False",""
"4","4","Akroan Phalanx","bng","Near Mint","English","","","2025-10-17 02:27:12.987000","2","False","False",""
"7","7","Akroan Skyguard","bng","Near Mint","English","","","2025-10-13 19:09:08.407000","3","False","False",""
"1","1","Akroma's Memorial","spg","Near Mint","English","foil","","2025-10-04 04:26:03.000000","81","False","False",""
"1","1","Akroma's Vengeance","cmd","Near Mint","English","","","2024-12-03 16:10:46.657000","3","False","False",""
"2","2","Al Bhed Salvagers","fin","Near Mint","English","foil","","2025-10-06 06:39:31.790000","88","False","False",""
"2","2","Alabaster Kirin","ktk","Near Mint","English","","","2025-10-13 19:09:34.003000","4","False","False",""
"1","1","Alabaster Mage","m12","Near Mint","English","","","2024-12-06 22:10:52.033000","2","False","False",""
"1","1","Alabaster Potion","5ed","Near Mint","English","","","2024-12-07 04:08:59.693000","3","False","False",""
"1","1","Alacrian Armory","dft","Near Mint","English","","","2025-10-13 19:10:25.177000","2","False","False",""
"1","1","Alacrian Armory","dft","Near Mint","English","foil","","2025-10-13 19:10:18.203000","2","False","False",""
"1","1","Alacrian Jaguar","dft","Near Mint","English","foil","","2025-10-09 19:36:18.637000","152","False","False",""
"3","3","Alacrian Jaguar","dft","Near Mint","English","","","2025-10-09 19:36:28.300000","152","False","False",""
"2","2","Alania's Pathmaker","blb","Near Mint","English","foil","","2025-10-11 04:31:24.813000","123","False","False",""
"3","3","Alarum","mir","Near Mint","English","","","2025-10-13 19:10:42.417000","2","False","False",""
"1","1","Alchemax Slayer-Bots","spe","Near Mint","English","foil","","2025-10-12 00:39:34.653000","5","False","False",""
"1","1","Alchemist's Gift","j25","Near Mint","English","","","2024-12-07 20:35:21.670000","397","False","False",""
"1","1","Alchemist's Greeting","inr","Near Mint","English","","","2025-10-11 04:32:28.637000","393","False","False",""
"1","1","Alchemist's Greeting","inr","Near Mint","English","foil","","2025-10-11 04:32:11.793000","140","False","False",""
"1","1","Alchemist's Talent","blc","Near Mint","English","","","2024-12-03 00:17:05.220000","22","False","False",""
"1","1","Aleatory","mir","Near Mint","English","","","2024-12-06 17:36:52.520000","155","False","False",""
"1","1","Alesha, Who Laughs at Fate","fdn","Near Mint","English","","","2025-10-15 21:57:24.077000","476","False","False",""
"1","1","Alesha, Who Laughs at Fate","fdn","Near Mint","English","","","2025-10-15 21:57:52.550000","115","False","False",""
"1","1","Alesha, Who Smiles at Death","frf","Near Mint","English","","","2024-12-03 17:55:03.560000","90","False","False",""
"1","1","Alesha's Legacy","tdm","Near Mint","English","foil","","2025-10-06 06:40:26.770000","72","False","False",""
"1","1","Alesha's Vanguard","frf","Near Mint","English","","","2025-10-06 06:40:47.147000","60","False","False",""
"1","1","Aliban's Tower","hml","Near Mint","English","","","2024-12-06 17:37:01.177000","61a","False","False",""
"1","1","Alien Symbiosis","spm","Near Mint","English","foil","","2025-10-12 00:28:22.467000","50","False","False",""
"1","1","Alisaie Leveilleur","fic","Near Mint","English","","","2025-10-13 19:11:03.957000","9","False","False",""
"1","1","Alistair, the Brigadier","who","Near Mint","English","","","2024-12-08 17:45:17.187000","112","False","False",""
"1","1","Alive // Well","dgm","Near Mint","English","","","2024-12-04 16:48:33.777000","121","False","False",""
"1","1","All Will Be One","sld","Near Mint","English","foil","","2025-10-11 04:33:54.853000","1888","False","False",""
"1","1","Allay","exo","Near Mint","English","","","2024-11-29 18:49:18.227000","1","False","False",""
"1","1","Alley Assailant","mkm","Near Mint","English","","","2025-10-06 06:41:12.243000","76","False","False",""
"1","1","Alley Assailant","mkm","Near Mint","English","foil","","2025-10-06 06:41:03.917000","76","False","False",""
"3","3","Alley Evasion","aer","Near Mint","English","","","2025-10-13 19:11:31.010000","6","False","False",""
"4","4","Alley Strangler","aer","Near Mint","English","","","2025-10-06 06:42:12.600000","52","False","False",""
"1","1","All-Fates Stalker","eoe","Near Mint","English","foil","","2025-08-18 23:37:38.453000","3","False","False",""
"1","1","Allied Reinforcements","ogw","Near Mint","English","","","2024-12-07 05:17:46.233000","15","False","False",""
"1","1","Alluring Suitor // Deadly Dancer","vow","Near Mint","English","","","2025-10-11 04:34:33.257000","300","False","False",""
"4","4","Alms","wth","Near Mint","English","","","2025-10-13 19:12:22.613000","3","False","False",""
"4","4","Alpha Authority","gtc","Near Mint","English","","","2025-10-09 19:36:53.270000","114","False","False",""
"1","1","Alpha Brawl","dka","Near Mint","English","","","2024-12-06 19:38:38.433000","82","False","False",""
"1","1","Alpharael, Dreaming Acolyte","eoe","Near Mint","English","foil","","2025-10-15 17:08:11.340000","212","False","False",""
"2","2","Alpharael, Dreaming Acolyte","eoe","Near Mint","English","","","2025-10-15 17:08:30.770000","212","False","False",""
